Global_ID,Level_ID,Level,Task,Answer
1,1,Начальная школа,5 + 7,12
2,2,Начальная школа,14 + 18,32
3,3,Начальная школа,25 + 36,61
4,4,Начальная школа,47 + 22,69
5,5,Начальная школа,68 + 15,83
6,6,Начальная школа,100 - 45,55
7,7,Начальная школа,82 - 37,45
8,8,Начальная школа,64 - 19,45
9,9,Начальная школа,55 - 26,29
10,10,Начальная школа,30 - 14,16
11,11,Начальная школа,3 * 4,12
12,12,Начальная школа,5 * 6,30
13,13,Начальная школа,7 * 8,56
14,14,Начальная школа,9 * 4,36
15,15,Начальная школа,6 * 7,42
16,16,Начальная школа,24 / 6,4
17,17,Начальная школа,35 / 5,7
18,18,Начальная школа,48 / 8,6
19,19,Начальная школа,81 / 9,9
20,20,Начальная школа,63 / 7,9
21,21,Начальная школа,12 + 34 + 18,64
22,22,Начальная школа,50 - 12 - 15,23
23,23,Начальная школа,2 * 3 * 4,24
24,24,Начальная школа,100 / 10 / 2,5
25,25,Начальная школа,(15 + 5) * 2,40
26,26,Начальная школа,40 / (12 - 4),5
27,27,Начальная школа,7 * 9 + 12,75
28,28,Начальная школа,64 / 8 + 20,28
29,29,Начальная школа,100 - 8 * 8,36
30,30,Начальная школа,50 + 45 / 9,55
31,31,Начальная школа,Найдите сумму 18 и 42.,60
32,32,Начальная школа,Найдите разность 75 и 25.,50
33,33,Начальная школа,Увеличьте 8 в 6 раз.,48
34,34,Начальная школа,Уменьшите 42 в 7 раз.,6
35,35,Начальная школа,В классе 15 мальчиков и 12 девочек. Сколько всего детей в классе?,27
36,36,Начальная школа,У Пети было 50 рублей. Он купил мороженое за 35 рублей. Сколько сдачи он получит?,15
37,37,Начальная школа,В 4 одинаковых коробках 36 карандашей. Сколько карандашей в одной коробке?,9
38,38,Начальная школа,Машина ехала 2 часа со скоростью 60 км/ч. Какое расстояние она проехала?,120
39,39,Начальная школа,"Длина прямоугольника 8 см, ширина 4 см. Найдите его периметр.",24
40,40,Начальная школа,Сторона квадрата 5 см. Найдите его площадь.,25
41,41,Начальная школа,Выразите в сантиметрах: 2 м 15 см.,215
42,42,Начальная школа,Выразите в минутах: 1 час 20 минут.,80
43,43,Начальная школа,Сравните значения выражений: 45 + 15 и 70 - 10.,60
44,44,Начальная школа,Вставьте пропущенное число: ... + 14 = 30.,16
45,45,Начальная школа,Вставьте пропущенное число: 5 * ... = 45.,9
46,46,Начальная школа,"На ветке сидело 12 птиц, 5 улетело. Сколько птиц осталось?",7
47,47,Начальная школа,Бабушка испекла 20 пирожков. 5 съели за обедом. Сколько пирожков осталось?,15
48,48,Начальная школа,Купили 3 кг яблок по 40 рублей. Сколько всего заплатили за покупку?,120
49,49,Начальная школа,"Альбом стоит 60 рублей, а ручка в 3 раза дешевле. Сколько стоит ручка?",20
50,50,Начальная школа,"Сумма двух чисел равна 20, одно из них 13. Найдите второе число.",7
51,1,Средняя школа,Решите уравнение: x + 24 = 61,37
52,2,Средняя школа,Решите уравнение: y - 17 = 35,52
53,3,Средняя школа,Решите уравнение: 4a = 52,13
54,4,Средняя школа,Решите уравнение: b / 5 = 12,60
55,5,Средняя школа,Решите уравнение: 2x + 7 = 21,7
56,6,Средняя школа,Решите уравнение: 5y - 14 = 36,10
57,7,Средняя школа,Вычислите: 1/3 + 1/6,1/2
58,8,Средняя школа,Вычислите: 3/4 - 1/2,1/4
59,9,Средняя школа,Вычислите: 2/5 * 15/8,3/4
60,10,Средняя школа,Вычислите: 7/9 : 14/3,1/6
61,11,Средняя школа,Вычислите: 1.5 + 2.8,4.3
62,12,Средняя школа,Вычислите: 5.4 - 3.7,1.7
63,13,Средняя школа,Вычислите: 2.5 * 4,10
64,14,Средняя школа,Вычислите: 8.4 : 2,4.2
65,15,Средняя школа,Найдите 20% от числа 150.,30
66,16,Средняя школа,Число 40 увеличили на 10%. Какое число получилось?,44
67,17,Средняя школа,Товар стоил 200 рублей. Его цена снизилась на 15%. Какова новая цена?,170
68,18,Средняя школа,Вычислите: 3^4,81
69,19,Средняя школа,Вычислите: 5^3,125
70,20,Средняя школа,Вычислите: (-2)^5,-32
71,21,Средняя школа,Найдите значение: sqrt(81),9
72,22,Средняя школа,Найдите значение: sqrt(144),12
73,23,Средняя школа,Вычислите: sqrt(25) + sqrt(64),13
74,24,Средняя школа,Упростите выражение: 2a + 3b - a + 4b,a+7b
75,25,Средняя школа,Раскройте скобки: 3(x - 4),3x-12
76,26,Средняя школа,Вынесите общий множитель за скобки: 6x^2 + 9x,3x(2x+3)
77,27,Средняя школа,"Решите систему уравнений: x + y = 10, x - y = 4",7 3
78,28,Средняя школа,Решите неравенство: 2x > 10,x>5
79,29,Средняя школа,Решите неравенство: 3x - 5 <= 16,x<=7
80,30,Средняя школа,Найдите наибольший общий делитель (НОД) чисел 24 и 36.,12
81,31,Средняя школа,Найдите наименьшее общее кратное (НОК) чисел 12 и 15.,60
82,32,Средняя школа,"Периметр прямоугольника равен 30 см, его длина 9 см. Найдите ширину.",6
83,33,Средняя школа,Площадь квадрата равна 49. Найдите длину его стороны.,7
84,34,Средняя школа,Найдите площадь прямоугольного треугольника с катетами 6 и 8.,24
85,35,Средняя школа,В прямоугольном треугольнике катеты равны 3 и 4. Найдите гипотенузу.,5
86,36,Средняя школа,"Сумма углов треугольника равна 180 градусам. Один угол 40 градусов, второй 60 градусов. Найдите третий угол.",80
87,37,Средняя школа,Найдите длину окружности с радиусом 5 (ответ выразите через pi).,10pi
88,38,Средняя школа,Найдите площадь круга с радиусом 4 (ответ выразите через pi).,16pi
89,39,Средняя школа,Даны точки A(1; 2) и B(4; 6). Найдите расстояние между ними.,5
90,40,Средняя школа,Найдите координаты середины отрезка с концами в точках (-2; 4) и (6; 8).,2 6
91,41,Средняя школа,Проходит ли график функции y = 2x - 3 через точку (2; 1)?,Да
92,42,Средняя школа,Поезд проехал 240 км за 3 часа. С какой скоростью он двигался?,80
93,43,Средняя школа,Два пешехода вышли навстречу друг другу со скоростями 4 км/ч и 5 км/ч. Расстояние между ними 27 км. Через сколько часов они встретятся?,3
94,44,Средняя школа,"Бассейн наполняется первой трубой за 4 часа, а второй за 6 часов. За сколько часов они наполнят бассейн при совместной работе?",2.4
95,45,Средняя школа,Отношение чисел a и b равно 3:5. Их сумма равна 32. Найдите a и b.,12 20
96,46,Средняя школа,Масштаб карты 1:100000. Расстояние на карте равно 5 см. Каково реальное расстояние на местности (в километрах)?,5
97,47,Средняя школа,Вычислите: |-15| + |8|,23
98,48,Средняя школа,Решите уравнение: |x| = 7,7 -7
99,49,Средняя школа,Представьте выражение в виде степени: x^3 * x^5,x^8
100,50,Средняя школа,Представьте выражение в виде степени: y^8 / y^2,y^6
101,1,Старшая школа,Решите квадратное уравнение: x^2 - 7x + 12 = 0,3 4
102,2,Старшая школа,Решите уравнение: 2x^2 + 5x - 3 = 0,0.5 -3
103,3,Старшая школа,Решите неполное квадратное уравнение: x^2 - 16 = 0,4 -4
104,4,Старшая школа,Решите неполное квадратное уравнение: 3x^2 - 12x = 0,0 4
105,5,Старшая школа,Решите биквадратное уравнение: x^4 - 5x^2 + 4 = 0,1 -1 2 -2
106,6,Старшая школа,"Решите систему: x^2 + y^2 = 25, x - y = 1",-3 -4 4 3
107,7,Старшая школа,Решите неравенство: x^2 - 4x > 0,x<0 или x>4
108,8,Старшая школа,Решите дробно-рациональное неравенство: (x-3)/(x+2) <= 0,(-2;3]
109,9,Старшая школа,Вычислите: log_2(32),5
110,10,Старшая школа,Вычислите: log_5(125),3
111,11,Старшая школа,Вычислите: log_3(1/9),-2
112,12,Старшая школа,Решите логарифмическое уравнение: log_2(x-1) = 3,9
113,13,Старшая школа,Решите уравнение: log_3(x) + log_3(x-8) = 2,9
114,14,Старшая школа,Решите показательное уравнение: 2^x = 64,6
115,15,Старшая школа,Решите уравнение: 3^(x+1) = 81,3
116,16,Старшая школа,Решите уравнение: 5^(x^2-2x) = 125,3 -1
117,17,Старшая школа,Вычислите: sin(30°) + cos(60°),1
118,18,Старшая школа,Вычислите: tan(pi/4),1
119,19,Старшая школа,Вычислите: cos^2(15°) + sin^2(15°),1
120,20,Старшая школа,Упростите выражение: sin(2a) / (2cos(a)),sin(a)
121,21,Старшая школа,Решите тригонометрическое уравнение: sin(x) = 1/2,(-1)^n*pi/6+pi*n
122,22,Старшая школа,Решите уравнение: cos(x) = -sqrt(2)/2,+-3pi/4+2pi*n
123,23,Старшая школа,Решите уравнение: tan(2x) = 1,pi/8+pi*n/2
124,24,Старшая школа,Найдите производную функции: f(x) = x^4 - 3x^2 + 5,4x^3-6x
125,25,Старшая школа,Найдите производную функции: f(x) = sin(x) * cos(x),cos(2x)
126,26,Старшая школа,Найдите производную функции: f(x) = (x^2+1)/x,1-1/x^2
127,27,Старшая школа,Найдите производную функции: f(x) = e^x + ln(x),e^x+1/x
128,28,Старшая школа,Найдите значение производной f(x) = x^3 - 2x в точке x_0 = 1.,1
129,29,Старшая школа,Найдите угловой коэффициент касательной к графику y = x^2 в точке x = 2.,4
130,30,Старшая школа,Найдите точки экстремума функции y = x^3 - 3x.,1 -1
131,31,Старшая школа,Найдите общий вид первообразной F(x) для функции f(x) = 4x^3.,x^4+C
132,32,Старшая школа,Вычислите определенный интеграл: int_0^1 (2x+1) dx,2
133,33,Старшая школа,Вычислите интеграл: int_1^2 1/x dx,ln(2)
134,34,Старшая школа,"Найдите площадь криволинейной трапеции, ограниченной графиком y = x^2, прямыми x=0, x=2 и осью y=0.",8/3
135,35,Старшая школа,В урне 5 белых и 3 черных шара. Какова вероятность случайным образом вытащить белый шар?,5/8
136,36,Старшая школа,"Бросают две игральные кости. Какова вероятность того, что сумма выпавших очков равна 8?",5/36
137,37,Старшая школа,Вычислите число сочетаний: C_7^3,35
138,38,Старшая школа,Вычислите число размещений: A_5^2,20
139,39,Старшая школа,Вычислите значение выражения с факториалами: 6! / 4!,30
140,40,Старшая школа,Даны векторы a(2; 3; -1) и b(1; -2; 4). Найдите их скалярное произведение.,-8
141,41,Старшая школа,Найдите длину вектора c(3; 4; 0).,5
142,42,Старшая школа,Найдите косинус угла между векторами p(1; 0) и q(1; 1).,sqrt(2)/2
143,43,Старшая школа,"В правильной четырехугольной пирамиде сторона основания равна 6, а высота равна 4. Найдите объем пирамиды.",48
144,44,Старшая школа,"Радиус основания цилиндра равен 3, высота равна 5. Найдите площадь боковой поверхности цилиндра.",30pi
145,45,Старшая школа,Радиус шара равен 2. Найдите его объем.,32pi/3
146,46,Старшая школа,"Образующая конуса равна 5, радиус основания равен 3. Найдите высоту конуса.",4
147,47,Старшая школа,Найдите область определения функции: y = sqrt(2x-8),[4;+inf)
148,48,Старшая школа,Найдите множество значений функции: y = 3sin(x) + 4cos(x),[-5;5]
149,49,Старшая школа,Решите иррациональное уравнение: sqrt(x+2) = x,2
150,50,Старшая школа,Найдите уравнения асимптот гиперболы: y = (2x+1)/(x-1),1 2
